TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
497.5445,92.5776
498.5087,92.4104
499.4729,92.2114
500.4372,92.0039
501.4014,91.8152
502.3656,91.6692
503.3299,91.5785
504.2941,91.54
505.2583,91.5367
506.2226,91.5442
507.1868,91.5396
508.1510,91.5084
509.1153,91.4467
510.0795,91.3587
511.0437,91.2506
512.0080,91.1253
512.9722,90.9828
513.9365,90.8253
514.9007,90.6616
515.8649,90.5094
516.8292,90.3904
517.7934,90.3193
518.7576,90.2941
519.7219,90.2947
520.6861,90.2932
521.6503,90.2673
522.6146,90.2088
523.5788,90.1254
524.5430,90.0371
525.5073,89.9679
526.4715,89.9341
527.4357,89.9344
528.4000,89.9512
529.3642,89.9603
530.3284,89.9429
531.2927,89.8934
532.2569,89.8186
533.2211,89.7332
534.1854,89.6529
535.1496,89.5885
536.1138,89.5444
537.0781,89.5191
538.0423,89.5064
539.0065,89.4967
539.9708,89.479
540.9350,89.4449
541.8992,89.393
542.8635,89.3311
543.8277,89.2728
544.7919,89.2306
545.7562,89.2089
546.7204,89.2028
547.6846,89.2024
548.6489,89.2008
549.6131,89.1976
550.5773,89.1979
551.5416,89.2059
552.5058,89.2207
553.4700,89.2361
554.4343,89.2437
555.3985,89.237
556.3627,89.2134
557.3270,89.1745
558.2912,89.1262
559.2554,89.0775
560.2197,89.0395
561.1839,89.0207
562.1481,89.0223
563.1124,89.0353
564.0766,89.0439
565.0408,89.0338
566.0051,89.0006
566.9693,88.9518
567.9335,88.9025
568.8978,88.8656
569.8620,88.8447
570.8262,88.8337
571.7905,88.8231
572.7547,88.8068
573.7189,88.7838
574.6832,88.7569
575.6474,88.7281
576.6116,88.6972
577.5759,88.663
578.5401,88.6259
579.5043,88.5896
580.4686,88.5602
581.4328,88.5428
582.3970,88.5402
583.3613,88.5509
584.3255,88.57
585.2897,88.59
586.2540,88.6017
587.2182,88.5969
588.1824,88.5723
589.1467,88.5318
590.1109,88.4874
591.0751,88.4545
592.0394,88.4444
593.0036,88.4577
593.9678,88.4834
594.9321,88.5049
595.8963,88.5085
596.8605,88.4896
597.8248,88.4533
598.7890,88.4111
599.7532,88.3748
600.7175,88.351
601.6817,88.3395
602.6459,88.3342
603.6102,88.3265
604.5744,88.3091
605.5386,88.2778
606.5029,88.2333
607.4671,88.1808
608.4313,88.1286
609.3956,88.0856
610.3598,88.0575
611.3240,88.0438
612.2883,88.0371
613.2525,88.0265
614.2167,88.0024
615.1810,87.9621
616.1452,87.9113
617.1094,87.8604
618.0737,87.8181
619.0379,87.7849
620.0021,87.7547
620.9664,87.7201
621.9306,87.679
622.8948,87.6363
623.8591,87.6002
624.8233,87.5756
625.7875,87.5598
626.7518,87.5439
627.7160,87.5193
628.6802,87.4829
629.6445,87.4383
630.6087,87.3918
631.5729,87.3479
632.5372,87.307
633.5014,87.2668
