TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1504.2042,98.9915
1506.1327,98.6541
1508.0612,98.4834
1509.9896,98.5066
1511.9181,98.6324
1513.8466,98.7356
1515.7750,98.7399
1517.7035,98.6502
1519.6320,98.5479
1521.5604,98.5446
1523.4889,98.6943
1525.4174,98.944
1527.3458,99.1813
1529.2743,99.3094
1531.2028,99.2734
1533.1312,99.0505
1535.0597,98.6426
1536.9882,98.0963
1538.9166,97.5419
1540.8451,97.1851
1542.7736,97.163
1544.7020,97.4005
1546.6305,97.6906
1548.5590,97.8658
1550.4874,97.8572
1552.4159,97.6812
1554.3444,97.4392
1556.2728,97.3195
1558.2013,97.5112
1560.1298,98.0272
1562.0582,98.6761
1563.9867,99.251
1565.9152,99.6574
1567.8436,99.8975
1569.7721,100.021
1571.7006,100.095
1573.6290,100.189
1575.5575,100.346
1577.4860,100.565
1579.4144,100.803
1581.3429,101.003
1583.2714,101.117
1585.1998,101.115
1587.1283,100.993
1589.0568,100.77
1590.9852,100.49
1592.9137,100.207
1594.8422,99.9686
1596.7706,99.7978
1598.6991,99.6941
1600.6276,99.6399
1602.5560,99.6122
1604.4845,99.5897
1606.4130,99.5557
1608.3414,99.4965
1610.2699,99.4006
1612.1984,99.2602
1614.1268,99.076
1616.0553,98.8631
1617.9838,98.6516
1619.9122,98.4782
1621.8407,98.3673
1623.7692,98.3148
1625.6976,98.2863
1627.6261,98.2281
1629.5546,98.0819
1631.4830,97.8039
1633.4115,97.3902
1635.3400,96.8969
1637.2684,96.4249
1639.1969,96.0607
1641.1254,95.8308
1643.0538,95.7148
1644.9823,95.6899
1646.9108,95.7668
1648.8392,95.9959
1650.7677,96.4264
1652.6962,97.0326
1654.6246,97.7
1656.5531,98.3051
1658.4816,98.78
1660.4100,99.1083
1662.3385,99.2994
1664.2670,99.3807
1666.1954,99.4016
1668.1239,99.4321
1670.0524,99.5345
1671.9808,99.7198
1673.9093,99.9352
1675.8378,100.104
1677.7662,100.183
1679.6947,100.189
1681.6232,100.206
