TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
593.9678,87.1108
595.8963,86.0243
597.8248,84.7558
599.7532,83.3293
601.6817,81.8186
603.6102,80.3402
605.5386,79.0272
607.4671,77.9955
609.3956,77.3193
611.3240,77.023
613.2525,77.0855
615.1810,77.4499
617.1094,78.0339
619.0379,78.7428
620.9664,79.4837
622.8948,80.1796
624.8233,80.7799
626.7518,81.2646
628.6802,81.6439
630.6087,81.9509
632.5372,82.2299
634.4656,82.522
636.3941,82.8546
638.3226,83.2392
640.2510,83.6752
642.1795,84.1555
644.1080,84.6717
646.0364,85.2201
647.9649,85.8082
649.8934,86.454
651.8218,87.1714
653.7503,87.9446
655.6788,88.7133
657.6072,89.388
659.5357,89.8815
661.4642,90.1298
663.3926,90.0968
665.3211,89.7877
667.2496,89.281
669.1780,88.7359
671.1065,88.3106
673.0350,88.0555
674.9634,87.913
676.8919,87.8001
678.8204,87.6701
680.7488,87.5273
682.6773,87.4119
684.6058,87.3681
686.5342,87.416
688.4627,87.5466
690.3912,87.7416
692.3196,87.9936
694.2481,88.3101
696.1766,88.6993
698.1050,89.1483
700.0335,89.6103
701.9620,90.0151
703.8904,90.3013
705.8189,90.4591
707.7474,90.556
709.6758,90.724
711.6043,91.1061
713.5328,91.7896
715.4612,92.7593
717.3897,93.8957
719.3182,95.0239
721.2466,95.99
723.1751,96.7224
725.1036,97.2426
727.0320,97.6271
728.9605,97.953
730.8890,98.2636
732.8174,98.5631
734.7459,98.8334
736.6744,99.0566
738.6028,99.2283
740.5313,99.3596
742.4598,99.4689
744.3882,99.5724
746.3167,99.6772
748.2452,99.7807
750.1736,99.8732
752.1021,99.9449
754.0306,99.9911
755.9590,100.016
757.8875,100.03
759.8160,100.048
761.7444,100.08
763.6729,100.131
765.6014,100.197
767.5298,100.27
769.4583,100.34
771.3868,100.4
773.3152,100.45
775.2437,100.491
777.1722,100.53
779.1006,100.57
781.0291,100.608
782.9576,100.64
784.8860,100.659
786.8145,100.663
788.7430,100.654
790.6714,100.639
792.5999,100.624
794.5284,100.612
796.4568,100.605
