TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1698.9794,99.0566
1700.9078,99.2489
1702.8363,99.655
1704.7648,100.095
1706.6932,100.415
1708.6217,100.542
1710.5502,100.476
1712.4786,100.279
1714.4071,100.077
1716.3356,100.026
1718.2640,100.211
1720.1925,100.553
1722.1210,100.878
1724.0494,101.039
1725.9779,100.974
1727.9064,100.701
1729.8348,100.305
1731.7633,99.9281
1733.6918,99.7169
1735.6202,99.7243
1737.5487,99.8682
1739.4772,100.015
1741.4056,100.087
1743.3341,100.09
1745.2626,100.097
1747.1910,100.196
1749.1195,100.433
1751.0480,100.784
1752.9764,101.174
1754.9049,101.526
1756.8334,101.797
1758.7618,101.979
1760.6903,102.075
1762.6188,102.095
1764.5472,102.044
1766.4757,101.942
1768.4042,101.825
1770.3326,101.748
1772.2611,101.758
1774.1896,101.869
1776.1180,102.048
1778.0465,102.242
1779.9750,102.404
1781.9034,102.508
1783.8319,102.542
1785.7604,102.507
1787.6888,102.415
1789.6173,102.291
1791.5458,102.175
1793.4742,102.112
1795.4027,102.131
1797.3312,102.233
1799.2596,102.388
1801.1881,102.552
1803.1166,102.693
1805.0450,102.796
1806.9735,102.868
1808.9020,102.928
1810.8304,102.996
1812.7589,103.079
1814.6874,103.164
1816.6158,103.219
1818.5443,103.211
1820.4728,103.121
1822.4012,102.959
1824.3297,102.775
1826.2582,102.641
1828.1866,102.618
1830.1151,102.717
1832.0436,102.888
1833.9720,103.049
1835.9005,103.13
1837.8290,103.104
1839.7574,102.989
1841.6859,102.849
1843.6144,102.767
1845.5428,102.804
1847.4713,102.958
1849.3998,103.176
1851.3282,103.386
1853.2567,103.538
1855.1852,103.611
1857.1136,103.605
1859.0421,103.527
1860.9706,103.389
1862.8990,103.211
1864.8275,103.035
1866.7560,102.92
1868.6844,102.92
1870.6129,103.049
1872.5414,103.266
1874.4698,103.494
1876.3983,103.667
1878.3268,103.75
1880.2552,103.746
1882.1837,103.681
1884.1122,103.588
1886.0406,103.496
1887.9691,103.426
1889.8976,103.391
1891.8260,103.399
1893.7545,103.448
1895.6830,103.526
1897.6115,103.605
1899.5399,103.658
1901.4684,103.668
1903.3969,103.638
1905.3253,103.586
1907.2538,103.535
1909.1823,103.5
1911.1107,103.478
1913.0392,103.453
1914.9677,103.411
1916.8961,103.354
1918.8246,103.304
1920.7531,103.29
1922.6815,103.333
1924.6100,103.431
1926.5385,103.559
1928.4669,103.683
1930.3954,103.771
1932.3239,103.801
1934.2523,103.767
1936.1808,103.676
1938.1093,103.548
1940.0377,103.42
1941.9662,103.33
1943.8947,103.31
1945.8231,103.365
1947.7516,103.47
1949.6801,103.589
1951.6085,103.689
1953.5370,103.752
1955.4655,103.776
1957.3939,103.769
1959.3224,103.739
1961.2509,103.694
1963.1793,103.648
1965.1078,103.613
1967.0363,103.602
1968.9647,103.612
1970.8932,103.627
1972.8217,103.632
1974.7501,103.617
1976.6786,103.588
1978.6071,103.555
1980.5355,103.519
1982.4640,103.473
1984.3925,103.408
1986.3209,103.33
1988.2494,103.261
1990.1779,103.226
1992.1063,103.242
1994.0348,103.308
1995.9633,103.4
1997.8917,103.49
1999.8202,103.555
2001.7487,103.586
2003.6771,103.585
2005.6056,103.563
2007.5341,103.53
2009.4625,103.489
2011.3910,103.443
2013.3195,103.394
2015.2479,103.351
2017.1764,103.328
2019.1049,103.339
2021.0333,103.389
2022.9618,103.469
2024.8903,103.558
2026.8187,103.627
2028.7472,103.653
2030.6757,103.627
2032.6041,103.562
2034.5326,103.491
2036.4611,103.45
2038.3895,103.458
2040.3180,103.51
2042.2465,103.584
2044.1749,103.656
2046.1034,103.709
2048.0320,103.748
2049.9604,103.787
2051.8889,103.837
2053.8174,103.901
2055.7458,103.965
2057.6743,104.014
2059.6028,104.036
2061.5313,104.032
2063.4597,104.012
2065.3882,103.994
2067.3167,103.989
2069.2451,104
2071.1736,104.022
2073.1021,104.047
2075.0305,104.072
2076.9590,104.095
2078.8875,104.117
2080.8159,104.138
2082.7444,104.156
2084.6729,104.168
2086.6013,104.176
2088.5298,104.182
2090.4583,104.192
2092.3867,104.206
2094.3152,104.226
2096.2437,104.245
2098.1721,104.261
2100.1006,104.271
2102.0291,104.274
2103.9575,104.274
2105.8860,104.269
2107.8145,104.259
2109.7429,104.242
2111.6714,104.223
2113.5999,104.206
2115.5283,104.199
2117.4568,104.205
2119.3853,104.221
2121.3137,104.242
2123.2422,104.259
2125.1707,104.264
2127.0991,104.254
2129.0276,104.227
2130.9561,104.187
2132.8845,104.137
2134.8130,104.085
2136.7415,104.043
2138.6699,104.016
2140.5984,104.004
2142.5269,103.994
2144.4553,103.969
2146.3838,103.919
2148.3123,103.847
2150.2407,103.765
2152.1692,103.685
2154.0977,103.607
2156.0261,103.52
2157.9546,103.413
2159.8831,103.305
2161.8115,103.233
2163.7400,103.23
2165.6685,103.293
