TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1679.6947,95.9576
1681.6232,95.7884
1683.5516,95.7584
1685.4801,95.9398
1687.4086,96.2609
1689.3370,96.5612
1691.2655,96.701
1693.1940,96.6136
1695.1224,96.3181
1697.0509,95.9394
1698.9794,95.7004
1700.9078,95.7901
1702.8363,96.1873
1704.7648,96.6909
1706.6932,97.1003
1708.6217,97.3077
1710.5502,97.2931
1712.4786,97.1114
1714.4071,96.896
1716.3356,96.8276
1718.2640,97.0203
1720.1925,97.4141
1722.1210,97.8245
1724.0494,98.0825
1725.9779,98.105
1727.9064,97.8919
1729.8348,97.5152
1731.7633,97.1132
1733.6918,96.8445
1735.6202,96.7862
1737.5487,96.8771
1739.4772,96.987
1741.4056,97.0244
1743.3341,96.9825
1745.2626,96.9242
1747.1910,96.9397
1749.1195,97.0891
1751.0480,97.3637
1752.9764,97.6963
1754.9049,98.0097
1756.8334,98.2549
1758.7618,98.4161
1760.6903,98.4944
1762.6188,98.4926
1764.5472,98.4124
1766.4757,98.266
1768.4042,98.0909
1770.3326,97.9519
1772.2611,97.9175
1774.1896,98.0183
1776.1180,98.2246
1778.0465,98.4686
1779.9750,98.6833
1781.9034,98.8251
1783.8319,98.8753
1785.7604,98.834
1787.6888,98.7169
1789.6173,98.5574
1791.5458,98.4047
1793.4742,98.313
1795.4027,98.3189
1797.3312,98.4234
1799.2596,98.5917
1801.1881,98.773
1803.1166,98.9257
1805.0450,99.0323
1806.9735,99.1012
1808.9020,99.1568
1810.8304,99.223
1812.7589,99.307
1814.6874,99.3919
1816.6158,99.4413
1818.5443,99.4155
1820.4728,99.2918
1822.4012,99.082
1824.3297,98.8389
1826.2582,98.6436
1828.1866,98.5708
1830.1151,98.6428
1832.0436,98.8121
1833.9720,98.9895
1835.9005,99.0924
1837.8290,99.0791
1839.7574,98.9611
1841.6859,98.8005
1843.6144,98.6881
1845.5428,98.6962
1847.4713,98.8349
1849.3998,99.0508
1851.3282,99.2686
1853.2567,99.4312
1855.1852,99.513
1857.1136,99.5119
1859.0421,99.435
1860.9706,99.2923
