TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
499.4729,100.471
500.4372,100.318
501.4014,100.166
502.3656,100.05
503.3299,99.9883
504.2941,99.9805
505.2583,100.015
506.2226,100.079
507.1868,100.168
508.1510,100.279
509.1153,100.403
510.0795,100.519
511.0437,100.594
512.0080,100.598
512.9722,100.506
513.9365,100.315
514.9007,100.048
515.8649,99.7527
516.8292,99.4973
517.7934,99.3485
518.7576,99.3412
519.7219,99.4572
520.6861,99.6329
521.6503,99.7922
522.6146,99.8821
523.5788,99.8938
524.5430,99.8623
525.5073,99.8453
526.4715,99.888
527.4357,99.9944
528.4000,100.127
529.3642,100.233
530.3284,100.276
531.2927,100.25
532.2569,100.178
533.2211,100.097
534.1854,100.037
535.1496,100.014
536.1138,100.025
537.0781,100.059
538.0423,100.105
539.0065,100.159
539.9708,100.217
540.9350,100.274
541.8992,100.317
542.8635,100.334
543.8277,100.317
544.7919,100.269
545.7562,100.209
546.7204,100.16
547.6846,100.144
548.6489,100.168
549.6131,100.227
550.5773,100.302
551.5416,100.38
552.5058,100.453
553.4700,100.524
554.4343,100.601
555.3985,100.695
556.3627,100.806
557.3270,100.929
558.2912,101.049
559.2554,101.146
560.2197,101.207
561.1839,101.225
562.1481,101.2
563.1124,101.137
564.0766,101.04
565.0408,100.92
566.0051,100.793
566.9693,100.683
567.9335,100.614
568.8978,100.6
569.8620,100.634
570.8262,100.685
571.7905,100.717
572.7547,100.704
573.7189,100.642
574.6832,100.548
575.6474,100.449
576.6116,100.367
577.5759,100.306
578.5401,100.265
579.5043,100.236
580.4686,100.219
581.4328,100.218
582.3970,100.241
583.3613,100.289
584.3255,100.354
585.2897,100.422
586.2540,100.475
587.2182,100.497
588.1824,100.481
589.1467,100.432
590.1109,100.371
591.0751,100.324
592.0394,100.312
593.0036,100.338
593.9678,100.389
594.9321,100.438
595.8963,100.467
596.8605,100.47
597.8248,100.457
598.7890,100.446
599.7532,100.451
600.7175,100.479
601.6817,100.523
602.6459,100.574
603.6102,100.621
604.5744,100.655
605.5386,100.669
606.5029,100.664
607.4671,100.645
608.4313,100.626
609.3956,100.618
610.3598,100.622
611.3240,100.624
612.2883,100.597
613.2525,100.516
614.2167,100.377
615.1810,100.209
616.1452,100.065
617.1094,100.001
618.0737,100.044
619.0379,100.179
620.0021,100.353
620.9664,100.507
621.9306,100.601
622.8948,100.63
623.8591,100.611
624.8233,100.576
625.7875,100.549
626.7518,100.536
627.7160,100.532
628.6802,100.524
629.6445,100.499
630.6087,100.455
631.5729,100.391
632.5372,100.314
633.5014,100.229
634.4656,100.14
635.4299,100.049
636.3941,99.9591
637.3583,99.8714
638.3226,99.7893
639.2868,99.7167
640.2510,99.6562
641.2153,99.6061
642.1795,99.5589
643.1437,99.503
644.1080,99.4281
645.0722,99.3298
646.0364,99.214
647.0007,99.0964
647.9649,98.999
648.9291,98.9412
649.8934,98.9303
650.8576,98.957
651.8218,98.9995
652.7861,99.0356
653.7503,99.0541
654.7145,99.0593
655.6788,99.0654
656.6430,99.0854
657.6072,99.1249
658.5715,99.1851
659.5357,99.2694
660.4999,99.3831
661.4642,99.5189
662.4284,99.642
663.3926,99.6869
664.3569,99.564
665.3211,99.1691
666.2853,98.4238
667.2496,97.4095
668.2138,96.5344
669.1780,96.3028
670.1423,96.7359
671.1065,97.4387
672.0707,98.0781
673.0350,98.5187
673.9992,98.7477
674.9634,98.8126
675.9277,98.7893
676.8919,98.7487
677.8561,98.7292
678.8204,98.7335
679.7846,98.7501
680.7488,98.7731
681.7131,98.805
682.6773,98.8471
683.6415,98.8916
684.6058,98.9234
685.5700,98.9317
686.5342,98.9188
687.4985,98.9017
688.4627,98.9031
689.4269,98.9398
690.3912,99.015
691.3554,99.1178
692.3196,99.2306
693.2839,99.3376
694.2481,99.432
695.2123,99.5169
696.1766,99.6015
697.1408,99.694
698.1050,99.7967
699.0693,99.9047
700.0335,100.009
700.9977,100.102
701.9620,100.18
702.9262,100.246
703.8904,100.307
704.8547,100.37
705.8189,100.441
706.7831,100.522
707.7474,100.608
708.7116,100.689
709.6758,100.757
710.6401,100.809
711.6043,100.85
712.5685,100.887
713.5328,100.918
714.4970,100.929
715.4612,100.896
716.4255,100.801
717.3897,100.651
718.3539,100.484
719.3182,100.361
720.2824,100.336
721.2466,100.423
722.2109,100.59
723.1751,100.779
724.1393,100.934
725.1036,101.027
726.0678,101.06
727.0320,101.055
727.9963,101.037
728.9605,101.023
729.9247,101.019
730.8890,101.025
731.8532,101.038
732.8174,101.055
733.7817,101.073
734.7459,101.09
735.7101,101.102
736.6744,101.106
737.6386,101.101
738.6028,101.089
739.5671,101.074
740.5313,101.066
741.4955,101.072
742.4598,101.094
743.4240,101.134
744.3882,101.183
745.3525,101.232
746.3167,101.272
747.2809,101.297
748.2452,101.306
749.2094,101.303
750.1736,101.293
751.1379,101.283
752.1021,101.277
753.0663,101.281
754.0306,101.294
754.9948,101.314
755.9590,101.338
756.9233,101.361
757.8875,101.377
758.8517,101.385
759.8160,101.383
760.7802,101.375
761.7444,101.364
762.7087,101.355
763.6729,101.349
764.6371,101.347
765.6014,101.347
766.5656,101.347
767.5298,101.346
768.4941,101.343
769.4583,101.339
770.4225,101.334
771.3868,101.329
772.3510,101.322
773.3152,101.314
774.2795,101.306
775.2437,101.299
776.2079,101.294
777.1722,101.29
778.1364,101.287
779.1006,101.284
780.0649,101.279
781.0291,101.271
781.9933,101.257
782.9576,101.237
783.9218,101.209
784.8860,101.176
785.8503,101.143
786.8145,101.113
787.7787,101.086
788.7430,101.062
789.7072,101.035
790.6714,101.004
791.6357,100.967
792.5999,100.922
793.5641,100.869
794.5284,100.808
795.4926,100.739
796.4568,100.663
797.4211,100.582
798.3853,100.495
799.3495,100.397
800.3138,100.276
801.2780,100.114
802.2422,99.8966
803.2065,99.6157
804.1707,99.2812
805.1349,98.9228
806.0992,98.5866
807.0634,98.3243
808.0276,98.1799
808.9919,98.1773
809.9561,98.315
810.9203,98.5682
811.8846,98.8979
812.8488,99.2609
813.8130,99.6197
814.7773,99.9473
815.7415,100.229
816.7057,100.459
817.6700,100.639
818.6342,100.774
819.5984,100.871
820.5627,100.937
821.5269,100.979
822.4911,101.001
823.4554,101.007
824.4196,101.001
825.3839,100.984
826.3481,100.955
827.3123,100.917
828.2766,100.869
829.2408,100.812
830.2050,100.749
831.1693,100.685
832.1335,100.623
833.0977,100.558
834.0620,100.47
835.0262,100.315
835.9904,100.045
836.9547,99.6254
837.9189,99.0748
838.8831,98.4749
839.8474,97.9577
840.8116,97.659
841.7758,97.6628
842.7401,97.9648
843.7043,98.4749
844.6685,99.0592
845.6328,99.5939
846.5970,100.007
847.5612,100.288
848.5255,100.466
849.4897,100.582
850.4539,100.668
851.4182,100.739
852.3824,100.799
853.3466,100.85
854.3109,100.894
855.2751,100.934
856.2393,100.969
857.2036,100.998
858.1678,101.021
859.1320,101.038
860.0963,101.055
861.0605,101.074
862.0247,101.101
862.9890,101.135
863.9532,101.176
864.9174,101.22
865.8817,101.265
866.8459,101.307
867.8101,101.345
868.7744,101.379
869.7386,101.407
870.7028,101.432
871.6671,101.454
872.6313,101.473
873.5955,101.49
874.5598,101.506
875.5240,101.522
876.4882,101.538
877.4525,101.553
878.4167,101.566
879.3809,101.576
880.3452,101.581
881.3094,101.581
882.2736,101.578
883.2379,101.571
884.2021,101.56
885.1663,101.546
886.1306,101.526
887.0948,101.5
888.0590,101.461
889.0233,101.406
889.9875,101.327
890.9517,101.211
891.9160,101.045
892.8802,100.815
893.8444,100.516
894.8087,100.159
895.7729,99.7754
896.7371,99.417
897.7014,99.1425
898.6656,99.0023
899.6298,99.0232
900.5941,99.1996
901.5583,99.495
902.5225,99.8546
903.4868,100.221
904.4510,100.548
905.4152,100.811
906.3795,101.006
907.3437,101.142
908.3079,101.239
909.2722,101.311
910.2364,101.373
911.2007,101.429
912.1649,101.481
913.1292,101.527
914.0934,101.565
915.0576,101.593
916.0219,101.611
916.9861,101.62
917.9503,101.62
918.9146,101.616
919.8788,101.609
920.8430,101.602
921.8073,101.596
922.7715,101.592
923.7357,101.589
924.7000,101.587
925.6642,101.588
926.6284,101.591
927.5927,101.597
928.5569,101.606
929.5211,101.617
930.4854,101.624
931.4496,101.624
932.4138,101.609
933.3781,101.572
934.3423,101.512
935.3065,101.429
936.2708,101.333
937.2350,101.237
938.1992,101.158
939.1635,101.109
940.1277,101.101
941.0919,101.133
942.0562,101.2
943.0204,101.29
943.9846,101.388
944.9489,101.481
945.9131,101.561
946.8773,101.622
947.8416,101.664
948.8058,101.689
949.7700,101.699
950.7343,101.699
951.6985,101.689
952.6627,101.671
953.6270,101.646
954.5912,101.615
955.5554,101.579
956.5197,101.54
957.4839,101.5
958.4481,101.459
959.4124,101.413
960.3766,101.357
961.3408,101.281
962.3051,101.178
963.2693,101.039
964.2335,100.848
965.1978,100.586
966.1620,100.223
967.1262,99.7317
968.0905,99.1032
969.0547,98.3646
970.0189,97.5879
970.9832,96.8824
971.9474,96.3682
