TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1778.0465,101.716
1779.9750,102.109
1781.9034,102.432
1783.8319,102.657
1785.7604,102.779
1787.6888,102.814
1789.6173,102.797
1791.5458,102.778
1793.4742,102.81
1795.4027,102.923
1797.3312,103.115
1799.2596,103.351
1801.1881,103.584
1803.1166,103.775
1805.0450,103.909
1806.9735,103.996
1808.9020,104.065
1810.8304,104.144
1812.7589,104.248
1814.6874,104.363
1816.6158,104.448
1818.5443,104.453
1820.4728,104.344
1822.4012,104.128
1824.3297,103.869
1826.2582,103.665
1828.1866,103.607
1830.1151,103.723
1832.0436,103.956
1833.9720,104.195
1835.9005,104.337
1837.8290,104.332
1839.7574,104.197
1841.6859,104.014
1843.6144,103.894
1845.5428,103.924
1847.4713,104.111
1849.3998,104.385
1851.3282,104.657
1853.2567,104.856
1855.1852,104.953
1857.1136,104.943
1859.0421,104.834
1860.9706,104.637
1862.8990,104.376
1864.8275,104.103
1866.7560,103.899
1868.6844,103.843
1870.6129,103.96
1872.5414,104.206
1874.4698,104.483
1876.3983,104.7
1878.3268,104.808
1880.2552,104.804
1882.1837,104.722
1884.1122,104.605
1886.0406,104.495
1887.9691,104.419
1889.8976,104.397
1891.8260,104.438
1893.7545,104.538
1895.6830,104.671
1897.6115,104.799
1899.5399,104.886
1901.4684,104.913
1903.3969,104.889
1905.3253,104.84
1907.2538,104.796
1909.1823,104.772
1911.1107,104.756
1913.0392,104.726
1914.9677,104.669
1916.8961,104.593
1918.8246,104.534
1920.7531,104.533
1922.6815,104.611
1924.6100,104.757
1926.5385,104.931
1928.4669,105.084
1930.3954,105.177
1932.3239,105.191
1934.2523,105.126
1936.1808,104.998
1938.1093,104.832
1940.0377,104.669
1941.9662,104.549
1943.8947,104.508
1945.8231,104.557
1947.7516,104.673
1949.6801,104.817
1951.6085,104.95
1953.5370,105.047
1955.4655,105.097
1957.3939,105.102
1959.3224,105.062
1961.2509,104.987
1963.1793,104.895
1965.1078,104.813
1967.0363,104.766
1968.9647,104.758
1970.8932,104.768
1972.8217,104.77
1974.7501,104.753
1976.6786,104.733
1978.6071,104.732
1980.5355,104.755
1982.4640,104.777
1984.3925,104.772
1986.3209,104.728
1988.2494,104.664
1990.1779,104.615
1992.1063,104.615
1994.0348,104.673
1995.9633,104.769
1997.8917,104.875
1999.8202,104.967
2001.7487,105.035
2003.6771,105.079
2005.6056,105.103
2007.5341,105.107
2009.4625,105.094
2011.3910,105.073
2013.3195,105.062
2015.2479,105.073
2017.1764,105.107
2019.1049,105.148
2021.0333,105.178
2022.9618,105.187
2024.8903,105.183
2026.8187,105.182
2028.7472,105.19
2030.6757,105.2
2032.6041,105.192
2034.5326,105.153
2036.4611,105.091
2038.3895,105.028
2040.3180,104.993
2042.2465,105.002
2044.1749,105.054
2046.1034,105.135
2048.0320,105.223
2049.9604,105.302
2051.8889,105.364
2053.8174,105.405
2055.7458,105.425
2057.6743,105.427
2059.6028,105.416
