TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
1131.0459,103.835
1132.0101,103.859
1132.9744,103.879
1133.9386,103.895
1134.9028,103.908
1135.8671,103.918
1136.8313,103.926
1137.7955,103.93
1138.7598,103.932
1139.7240,103.932
1140.6882,103.932
1141.6525,103.932
1142.6167,103.934
1143.5809,103.937
1144.5452,103.94
1145.5094,103.942
1146.4736,103.943
1147.4379,103.941
1148.4021,103.936
1149.3663,103.927
1150.3306,103.914
1151.2948,103.897
1152.2590,103.879
1153.2233,103.861
1154.1875,103.847
1155.1517,103.837
1156.1160,103.831
1157.0802,103.828
1158.0444,103.826
1159.0087,103.821
1159.9729,103.813
1160.9371,103.802
1161.9014,103.788
1162.8656,103.775
1163.8298,103.763
1164.7941,103.755
1165.7583,103.753
1166.7225,103.754
1167.6868,103.759
1168.6510,103.764
1169.6152,103.77
1170.5795,103.774
1171.5437,103.778
1172.5079,103.783
1173.4722,103.789
1174.4364,103.796
1175.4006,103.806
1176.3649,103.819
1177.3291,103.836
1178.2933,103.856
1179.2576,103.877
1180.2218,103.897
1181.1860,103.911
1182.1503,103.918
1183.1145,103.917
1184.0787,103.909
1185.0430,103.9
1186.0072,103.894
1186.9714,103.893
1187.9357,103.898
1188.8999,103.906
1189.8641,103.916
1190.8284,103.923
1191.7926,103.926
1192.7568,103.925
1193.7211,103.919
1194.6853,103.911
1195.6495,103.903
1196.6138,103.898
1197.5780,103.898
1198.5422,103.904
1199.5065,103.913
1200.4707,103.923
1201.4349,103.931
1202.3992,103.936
1203.3634,103.936
1204.3276,103.933
1205.2919,103.928
1206.2561,103.921
1207.2203,103.913
1208.1846,103.904
1209.1488,103.895
1210.1130,103.886
1211.0773,103.878
1212.0415,103.874
1213.0057,103.873
1213.9700,103.873
1214.9342,103.872
1215.8984,103.87
1216.8627,103.866
1217.8269,103.86
1218.7911,103.854
1219.7554,103.848
1220.7196,103.842
1221.6838,103.836
1222.6481,103.83
1223.6123,103.825
1224.5765,103.821
1225.5408,103.819
1226.5050,103.816
1227.4692,103.812
1228.4335,103.806
1229.3977,103.799
1230.3619,103.79
1231.3262,103.782
1232.2904,103.775
1233.2546,103.767
1234.2189,103.759
1235.1831,103.748
1236.1473,103.737
1237.1116,103.728
1238.0758,103.72
1239.0400,103.716
1240.0043,103.712
1240.9685,103.707
1241.9327,103.699
1242.8970,103.691
1243.8612,103.685
1244.8254,103.682
1245.7897,103.683
1246.7539,103.687
1247.7181,103.69
1248.6824,103.69
1249.6466,103.687
1250.6108,103.682
1251.5751,103.675
1252.5393,103.668
1253.5035,103.661
1254.4678,103.65
1255.4320,103.635
1256.3962,103.613
1257.3605,103.588
1258.3247,103.563
1259.2889,103.543
1260.2532,103.533
1261.2174,103.533
1262.1816,103.538
1263.1459,103.543
