TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1799.2596,103.73
1801.1881,103.836
1803.1166,103.926
1805.0450,103.99
1806.9735,104.03
1808.9020,104.062
1810.8304,104.1
1812.7589,104.151
1814.6874,104.206
1816.6158,104.246
1818.5443,104.246
1820.4728,104.192
1822.4012,104.09
1824.3297,103.969
1826.2582,103.873
1828.1866,103.845
1830.1151,103.896
1832.0436,104.001
1833.9720,104.11
1835.9005,104.178
1837.8290,104.179
1839.7574,104.12
1841.6859,104.034
1843.6144,103.974
1845.5428,103.979
1847.4713,104.058
1849.3998,104.182
1851.3282,104.309
1853.2567,104.403
1855.1852,104.449
1857.1136,104.445
1859.0421,104.398
1860.9706,104.316
1862.8990,104.213
1864.8275,104.109
1866.7560,104.035
1868.6844,104.019
1870.6129,104.072
1872.5414,104.178
1874.4698,104.3
1876.3983,104.403
1878.3268,104.463
1880.2552,104.476
1882.1837,104.45
1884.1122,104.4
1886.0406,104.345
1887.9691,104.301
1889.8976,104.283
1891.8260,104.298
1893.7545,104.341
1895.6830,104.399
1897.6115,104.454
1899.5399,104.492
1901.4684,104.507
1903.3969,104.508
1905.3253,104.505
1907.2538,104.507
1909.1823,104.513
1911.1107,104.516
1913.0392,104.506
1914.9677,104.485
1916.8961,104.462
1918.8246,104.454
1920.7531,104.473
1922.6815,104.521
1924.6100,104.587
1926.5385,104.656
1928.4669,104.717
1930.3954,104.766
1932.3239,104.806
1934.2523,104.836
1936.1808,104.853
1938.1093,104.855
1940.0377,104.845
1941.9662,104.837
1943.8947,104.849
1945.8231,104.892
1947.7516,104.966
1949.6801,105.055
1951.6085,105.142
1953.5370,105.213
1955.4655,105.264
1957.3939,105.296
1959.3224,105.312
1961.2509,105.318
1963.1793,105.322
1965.1078,105.342
1967.0363,105.392
1968.9647,105.474
1970.8932,105.569
1972.8217,105.642
1974.7501,105.66
1976.6786,105.617
1978.6071,105.533
1980.5355,105.445
1982.4640,105.376
1984.3925,105.326
1986.3209,105.282
1988.2494,105.235
1990.1779,105.184
1992.1063,105.143
1994.0348,105.13
1995.9633,105.155
1997.8917,105.215
1999.8202,105.295
2001.7487,105.373
2003.6771,105.427
2005.6056,105.446
2007.5341,105.427
2009.4625,105.38
2011.3910,105.323
2013.3195,105.276
2015.2479,105.255
2017.1764,105.267
2019.1049,105.31
2021.0333,105.373
2022.9618,105.44
2024.8903,105.495
2026.8187,105.526
2028.7472,105.522
2030.6757,105.48
2032.6041,105.404
2034.5326,105.308
2036.4611,105.21
2038.3895,105.127
2040.3180,105.066
2042.2465,105.023
2044.1749,104.991
2046.1034,104.96
2048.0320,104.929
2049.9604,104.897
2051.8889,104.867
2053.8174,104.839
2055.7458,104.811
2057.6743,104.784
2059.6028,104.761
2061.5313,104.744
2063.4597,104.733
2065.3882,104.727
2067.3167,104.716
2069.2451,104.698
2071.1736,104.673
2073.1021,104.646
2075.0305,104.623
2076.9590,104.604
2078.8875,104.587
2080.8159,104.565
2082.7444,104.541
2084.6729,104.519
2086.6013,104.508
2088.5298,104.512
2090.4583,104.53
2092.3867,104.552
2094.3152,104.566
2096.2437,104.564
2098.1721,104.546
2100.1006,104.521
2102.0291,104.499
2103.9575,104.486
2105.8860,104.484
2107.8145,104.488
2109.7429,104.494
2111.6714,104.5
2113.5999,104.506
2115.5283,104.515
2117.4568,104.532
2119.3853,104.556
2121.3137,104.589
2123.2422,104.625
2125.1707,104.663
2127.0991,104.696
2129.0276,104.721
2130.9561,104.74
2132.8845,104.753
2134.8130,104.766
2136.7415,104.781
2138.6699,104.796
2140.5984,104.81
2142.5269,104.82
2144.4553,104.833
2146.3838,104.863
2148.3123,104.926
2150.2407,105.03
2152.1692,105.161
2154.0977,105.279
2156.0261,105.33
2157.9546,105.271
2159.8831,105.112
2161.8115,104.919
2163.7400,104.769
2165.6685,104.701
2167.5969,104.705
2169.5254,104.744
2171.4539,104.779
2173.3823,104.78
2175.3108,104.739
2177.2393,104.664
2179.1677,104.579
2181.0962,104.508
2183.0247,104.469
2184.9531,104.463
2186.8816,104.476
2188.8101,104.492
2190.7385,104.497
2192.6670,104.486
2194.5955,104.469
2196.5239,104.454
2198.4524,104.448
2200.3809,104.449
2202.3093,104.448
2204.2378,104.435
2206.1663,104.406
2208.0947,104.367
2210.0232,104.333
2211.9517,104.318
2213.8801,104.327
2215.8086,104.357
