TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1789.6173,102.446
1791.5458,102.323
1793.4742,102.246
1795.4027,102.241
1797.3312,102.312
1799.2596,102.438
1801.1881,102.585
1803.1166,102.719
1805.0450,102.822
1806.9735,102.89
1808.9020,102.938
1810.8304,102.984
1812.7589,103.043
1814.6874,103.11
1816.6158,103.16
1818.5443,103.157
1820.4728,103.075
1822.4012,102.915
1824.3297,102.718
1826.2582,102.557
1828.1866,102.501
1830.1151,102.572
1832.0436,102.733
1833.9720,102.9
1835.9005,102.997
1837.8290,102.982
1839.7574,102.869
1841.6859,102.718
1843.6144,102.615
1845.5428,102.625
1847.4713,102.758
1849.3998,102.962
1851.3282,103.17
1853.2567,103.326
1855.1852,103.407
1857.1136,103.407
1859.0421,103.338
1860.9706,103.211
1862.8990,103.05
1864.8275,102.893
1866.7560,102.788
1868.6844,102.778
1870.6129,102.872
1872.5414,103.036
1874.4698,103.211
1876.3983,103.348
1878.3268,103.421
1880.2552,103.43
1882.1837,103.39
1884.1122,103.318
1886.0406,103.232
1887.9691,103.151
1889.8976,103.096
1891.8260,103.09
1893.7545,103.14
1895.6830,103.232
1897.6115,103.329
1899.5399,103.395
1901.4684,103.406
1903.3969,103.366
1905.3253,103.302
1907.2538,103.246
1909.1823,103.217
1911.1107,103.208
1913.0392,103.196
1914.9677,103.158
1916.8961,103.093
1918.8246,103.022
1920.7531,102.983
1922.6815,103.006
1924.6100,103.095
1926.5385,103.222
1928.4669,103.344
1930.3954,103.418
1932.3239,103.419
1934.2523,103.346
1936.1808,103.223
1938.1093,103.088
1940.0377,102.983
1941.9662,102.939
1943.8947,102.965
1945.8231,103.043
1947.7516,103.138
1949.6801,103.217
1951.6085,103.269
1953.5370,103.302
1955.4655,103.335
1957.3939,103.378
1959.3224,103.42
1961.2509,103.434
1963.1793,103.397
1965.1078,103.31
1967.0363,103.205
1968.9647,103.127
1970.8932,103.106
1972.8217,103.141
1974.7501,103.199
1976.6786,103.228
1978.6071,103.195
1980.5355,103.099
1982.4640,102.969
1984.3925,102.849
1986.3209,102.774
1988.2494,102.761
1990.1779,102.8
1992.1063,102.861
1994.0348,102.914
1995.9633,102.941
1997.8917,102.958
1999.8202,102.994
2001.7487,103.08
2003.6771,103.217
2005.6056,103.369
2007.5341,103.478
2009.4625,103.497
2011.3910,103.427
2013.3195,103.32
2015.2479,103.245
2017.1764,103.249
2019.1049,103.33
2021.0333,103.447
2022.9618,103.541
2024.8903,103.572
2026.8187,103.537
2028.7472,103.468
2030.6757,103.413
2032.6041,103.409
2034.5326,103.456
2036.4611,103.521
2038.3895,103.561
2040.3180,103.55
2042.2465,103.496
2044.1749,103.437
2046.1034,103.418
2048.0320,103.464
2049.9604,103.559
2051.8889,103.665
2053.8174,103.737
2055.7458,103.751
2057.6743,103.712
2059.6028,103.649
2061.5313,103.599
2063.4597,103.588
2065.3882,103.617
2067.3167,103.661
2069.2451,103.688
2071.1736,103.68
2073.1021,103.641
2075.0305,103.595
2076.9590,103.569
2078.8875,103.576
2080.8159,103.607
2082.7444,103.64
2084.6729,103.651
2086.6013,103.633
2088.5298,103.592
2090.4583,103.549
2092.3867,103.525
2094.3152,103.528
2096.2437,103.552
2098.1721,103.582
2100.1006,103.601
2102.0291,103.604
2103.9575,103.594
2105.8860,103.583
2107.8145,103.579
2109.7429,103.584
2111.6714,103.592
2113.5999,103.597
2115.5283,103.591
2117.4568,103.574
2119.3853,103.549
2121.3137,103.525
2123.2422,103.512
2125.1707,103.518
2127.0991,103.542
2129.0276,103.577
2130.9561,103.606
2132.8845,103.615
2134.8130,103.597
2136.7415,103.561
2138.6699,103.529
2140.5984,103.521
2142.5269,103.545
2144.4553,103.585
2146.3838,103.613
2148.3123,103.608
2150.2407,103.566
2152.1692,103.505
2154.0977,103.46
2156.0261,103.46
2157.9546,103.504
2159.8831,103.556
2161.8115,103.568
2163.7400,103.527
2165.6685,103.46
2167.5969,103.414
2169.5254,103.421
2171.4539,103.488
2173.3823,103.588
2175.3108,103.675
2177.2393,103.705
2179.1677,103.657
2181.0962,103.547
2183.0247,103.42
2184.9531,103.329
2186.8816,103.303
2188.8101,103.342
2190.7385,103.419
2192.6670,103.498
2194.5955,103.548
2196.5239,103.563
2198.4524,103.551
2200.3809,103.534
2202.3093,103.532
2204.2378,103.551
2206.1663,103.583
2208.0947,103.613
2210.0232,103.629
2211.9517,103.629
2213.8801,103.62
2215.8086,103.617
2217.7371,103.628
2219.6655,103.655
2221.5940,103.686
2223.5225,103.707
2225.4509,103.706
2227.3794,103.682
2229.3079,103.644
2231.2363,103.605
2233.1648,103.577
2235.0933,103.564
2237.0217,103.558
2238.9502,103.545
2240.8787,103.512
2242.8071,103.458
2244.7356,103.393
2246.6641,103.331
2248.5925,103.285
2250.5210,103.257
2252.4495,103.237
2254.3779,103.212
2256.3064,103.17
2258.2349,103.109
2260.1633,103.038
2262.0918,102.972
2264.0203,102.921
2265.9487,102.887
2267.8772,102.865
2269.8057,102.846
2271.7341,102.827
2273.6626,102.808
2275.5911,102.792
2277.5195,102.778
2279.4480,102.753
2281.3765,102.695
2283.3049,102.578
2285.2334,102.378
2287.1619,102.088
2289.0903,101.718
2291.0188,101.294
2292.9473,100.846
2294.8757,100.396
2296.8042,99.9465
2298.7327,99.4803
2300.6611,98.9692
2302.5896,98.3928
2304.5181,97.7543
2306.4465,97.0841
2308.3750,96.4259
2310.3035,95.8112
2312.2319,95.2368
2314.1604,94.664
2316.0889,94.0412
2318.0173,93.3382
2319.9458,92.5714
2321.8743,91.8025
2323.8027,91.1128
2325.7312,90.5661
2327.6597,90.1837
2329.5881,89.936
2331.5166,89.7555
2333.4451,89.5705
2335.3735,89.3534
2337.3020,89.1614
2339.2305,89.1248
2341.1589,89.3463
2343.0874,89.7834
2345.0159,90.2549
2346.9443,90.5574
2348.8728,90.5458
2350.8013,90.1384
2352.7297,89.3044
2354.6582,88.0925
2356.5867,86.7113
2358.5151,85.5684
2360.4436,85.0879
2362.3721,85.3973
2364.3005,86.3132
2366.2290,87.6012
2368.1575,89.1144
2370.0859,90.7602
2372.0144,92.4566
2373.9429,94.1326
2375.8713,95.7389
2377.7998,97.2445
2379.7283,98.6257
2381.6567,99.8597
2383.5852,100.924
2385.5137,101.8
2387.4421,102.48
2389.3706,102.966
2391.2991,103.277
2393.2275,103.447
2395.1560,103.518
2397.0845,103.531
2399.0129,103.522
2400.9414,103.51
2402.8699,103.506
2404.7983,103.511
2406.7268,103.52
2408.6553,103.529
2410.5837,103.533
2412.5122,103.53
2414.4407,103.523
2416.3691,103.516
2418.2976,103.511
2420.2261,103.51
2422.1545,103.511
2424.0830,103.511
2426.0115,103.508
2427.9399,103.502
2429.8684,103.495
2431.7969,103.492
2433.7253,103.496
2435.6538,103.508
2437.5823,103.524
2439.5107,103.538
2441.4392,103.545
2443.3677,103.543
2445.2961,103.534
2447.2246,103.524
2449.1531,103.519
2451.0815,103.522
2453.0100,103.532
2454.9385,103.543
2456.8669,103.548
2458.7954,103.546
2460.7239,103.537
2462.6523,103.529
2464.5808,103.527
2466.5093,103.536
2468.4377,103.551
2470.3662,103.568
2472.2947,103.579
2474.2231,103.583
2476.1516,103.579
2478.0801,103.573
2480.0085,103.566
2481.9370,103.561
2483.8655,103.556
2485.7939,103.548
2487.7224,103.538
2489.6509,103.525
2491.5793,103.513
2493.5078,103.508
2495.4363,103.511
2497.3647,103.523
2499.2932,103.538
2501.2217,103.55
2503.1501,103.553
2505.0786,103.545
2507.0071,103.527
2508.9355,103.51
2510.8640,103.5
2512.7925,103.503
2514.7209,103.515
2516.6494,103.53
2518.5779,103.538
2520.5063,103.533
2522.4348,103.518
2524.3633,103.501
2526.2917,103.493
2528.2202,103.496
2530.1487,103.508
2532.0771,103.521
2534.0056,103.527
2535.9341,103.52
2537.8625,103.504
2539.7910,103.487
2541.7195,103.477
2543.6479,103.479
2545.5764,103.491
2547.5049,103.506
2549.4333,103.516
2551.3618,103.515
2553.2903,103.503
2555.2188,103.487
2557.1472,103.474
2559.0757,103.473
2561.0042,103.481
2562.9326,103.493
2564.8611,103.499
